"","Value","Duration","Start","End","mean_x","mean_y","POGsdSacAmp","RMS","subj","trial_id","stim","session_id","Order","Trial"
"1","f",1186.66666666667,1,1186.66666666667,966.835092081531,551.37576743952,0.412925675081101,0.257537549575074,"D","casa","casa",1,1,1
"3","f",526.666666666667,1314.33333333333,1840,1029.35902779012,149.125375095802,0.376913850470259,0.295692665785038,"D","casa","casa",1,3,1
"5","f",353.333333333333,1847.66666666667,2200,1111.26538913655,136.486833392449,0.353722626688065,0.28388532056107,"D","casa","casa",1,5,1
"7","f",173.333333333333,2227.66666666667,2400,1138.78855221088,245.648079505333,0.213008260289216,0.194127646550454,"D","casa","casa",1,7,1
"9","f",506.666666666667,2427.66666666667,2933.33333333333,1145.81393723739,413.846620986336,0.330879236696887,0.219698726059981,"D","casa","casa",1,9,1
"11","f",300,2954.33333333333,3253.33333333333,1153.11103990343,543.136799928877,0.420965354441792,0.300169383876449,"D","casa","casa",1,11,1
"13","f",1680,3281,4960,967.58240003294,733.567328498477,0.695198659914852,0.253622807465997,"D","casa","casa",1,13,1
"15","f",146.666666666667,4967.66666666667,5113.33333333333,905.427490754561,800.918673428622,0.396441717810993,0.340839811550383,"D","casa","casa",1,15,1
"17","f",1066.66666666667,5127.66666666667,6193.33333333333,789.498300266266,912.45818195343,0.725197559902372,0.267379260492324,"D","casa","casa",1,17,1
"19","f",686.666666666667,6247.66666666667,6933.33333333333,686.021777773366,506.369691441939,0.721873289957589,0.304713033931864,"D","casa","casa",1,19,1
"21","f",673.333333333333,6947.66666666667,7620,680.239081732117,396.866797532185,0.317958059874475,0.263444460201163,"D","casa","casa",1,21,1
"23","f",300,7634.33333333333,7933.33333333333,675.039357503255,307.738918897841,0.344613602795099,0.339494338559061,"D","casa","casa",1,23,1
"25","f",366.666666666667,7947.66666666667,8313.33333333333,685.389906033603,258.266290005771,0.407416267978306,0.262344983874006,"D","casa","casa",1,25,1
"27","f",553.333333333333,8347.66666666667,8900,834.474448330431,343.597641358893,0.397279272289073,0.252739089385503,"D","casa","casa",1,27,1
"29","f",200,8914.33333333333,9113.33333333333,912.073599906763,309.624120585124,0.287881519550999,0.264106651602374,"D","casa","casa",1,29,1
"31","f",273.333333333333,9127.66666666667,9400,952.943297556624,193.379004501715,0.371628517902515,0.210974896875268,"D","casa","casa",1,31,1
"33","f",773.333333333333,9407.66666666667,10180,907.813820837901,134.082884821399,0.475374367021305,0.284919942137149,"D","casa","casa",1,33,1
"35","f",680,10221,10900,1121.48075294495,258.701030581605,0.724605148141113,0.258707770854678,"D","casa","casa",1,35,1
"37","f",133.333333333333,10927.6666666667,11060,1156.24272193909,341.879671096802,0.423241253851837,0.241764042861637,"D","casa","casa",1,37,1
"39","f",160,11074.3333333333,11233.3333333333,1176.29759979248,299.095207214355,0,0,"D","casa","casa",1,39,1
"41","f",420,11254.3333333333,11673.3333333333,1204.52175164601,495.850371644137,0.835119025779103,0.281643300708751,"D","casa","casa",1,41,1
"43","f",293.333333333333,11687.6666666667,11980,1241.98996214433,624.043268117038,0.485404007146414,0.28639662408884,"D","casa","casa",1,43,1
"45","f",153.333333333333,11987.6666666667,12140,1194.15109485129,639.735417241636,0.237253088604466,0.201585880446617,"D","casa","casa",1,45,1
"47","f",186.666666666667,12174.3333333333,12360,1008.02468563616,657.632828439985,0.294788811427734,0.195543351183646,"D","casa","casa",1,47,1
"49","f",473.333333333333,12367.6666666667,12840,980.50505913815,740.339392433704,0.778533163165543,0.258358963076515,"D","casa","casa",1,49,1
"51","f",153.333333333333,12867.6666666667,13020,1074.73627720708,754.812469482422,0.256603183681777,0.162560325345313,"D","casa","casa",1,51,1
"53","f",380,13034.3333333333,13413.3333333333,1148.36193687037,785.733158312346,0.287719718141224,0.191412464730064,"D","casa","casa",1,53,1
"55","f",1306.66666666667,13427.6666666667,14733.3333333333,1253.38564973948,632.016055078531,0.647319994461645,0.292707604448045,"D","casa","casa",1,55,1
"57","f",1346.66666666667,14847.6666666667,16193.3333333333,1144.37375066776,772.867594917222,1.05143627145766,0.300720107268761,"D","casa","casa",1,57,1
"59","f",300,16214.3333333333,16513.3333333333,993.101440127691,758.110800509983,0.470085883895332,0.255498356150583,"D","casa","casa",1,59,1
"61","f",333.333333333333,16527.6666666667,16860,842.819327850342,669.045852165222,0.698916265503106,0.291102332145445,"D","casa","casa",1,61,1
"63","f",393.333333333333,16921,17313.3333333333,724.908528344106,620.857586488885,0.587628249577425,0.310258891179146,"D","casa","casa",1,63,1
"65","f",573.333333333333,17347.6666666667,17920,849.801599879597,528.954551127154,0.679032435680896,0.366795634152328,"D","casa","casa",1,65,1
"67","f",1646.66666666667,17947.6666666667,19593.3333333333,677.805163086185,534.298583745617,0.683470486284874,0.311519978739201,"D","casa","casa",1,67,1
"69","f",486.666666666667,19627.6666666667,20113.3333333333,638.724426269531,320.863044007184,0.485154219005518,0.292230119222849,"D","casa","casa",1,69,1
"71","f",1133.33333333333,20147.6666666667,21280,853.05972699558,377.820942822625,0.501951747843681,0.316729928675015,"D","casa","casa",1,71,1
"73","f",513.333333333333,21307.6666666667,21820,1085.03763114632,389.518831426447,0.444204722123232,0.302028261209841,"D","casa","casa",1,73,1
"75","f",753.333333333333,21827.6666666667,22580,1220.27689942216,399.83306020551,0.924434235746152,0.289962777674709,"D","casa","casa",1,75,1
"77","f",133.333333333333,22607.6666666667,22740,1124.68176116943,360.309061050415,0.325497221119554,0.313585535870062,"D","casa","casa",1,77,1
"79","f",1013.33333333333,22787.6666666667,23800,1153.69585303256,148.122533195897,0.750710695571802,0.316132356134005,"D","casa","casa",1,79,1
"81","f",433.333333333333,23827.6666666667,24260,909.209797033897,167.3528123122,0.653287431529782,0.342450007311276,"D","casa","casa",1,81,1
"83","f",246.666666666667,24267.6666666667,24513.3333333333,910.823351396097,246.984323656237,0.374428245922348,0.313152553547497,"D","casa","casa",1,83,1
"85","f",520,24521,25040,860.420923159673,241.497484647311,0.208230972955802,0.182874241220296,"D","casa","casa",1,85,1
"87","f",646.666666666667,25067.6666666667,25713.3333333333,1156.39531487534,308.435808948635,0.662619362498828,0.280089855879507,"D","casa","casa",1,87,1
"89","f",693.333333333333,25747.6666666667,26440,857.878800217922,375.160689574022,0.655048810711338,0.33936860968237,"D","casa","casa",1,89,1
"91","f",260,26507.6666666667,26766.6666666667,1022.47852352338,473.503846516976,0.616875889013188,0.2983511922065,"D","casa","casa",1,91,1
"93","f",1046.66666666667,26774.3333333333,27820,1098.13488946902,516.924561867194,0.55896766979626,0.269720966988293,"D","casa","casa",1,93,1
"95","f",140,27854.3333333333,27993.3333333333,1114.22399902344,356.216400146484,0,0,"D","casa","casa",1,95,1
"97","f",993.333333333333,28027.6666666667,29020,976.12832210673,753.157425490002,0.512064328443206,0.258409463348419,"D","casa","casa",1,97,1
"99","f",820,29034.3333333333,29853.3333333333,907.919687869345,802.324360421033,0.472492127276014,0.246787590159271,"D","casa","casa",1,99,1
"100","f",126.666666666667,1,126.666666666667,937.891199111938,537.505199432373,0,0,"D","sagrada","sagrada",1,1,2
"102","f",426.666666666667,181,606.666666666667,955.641299927142,620.941359579563,0.402612316293105,0.241319356562308,"D","sagrada","sagrada",1,3,2
"104","f",766.666666666667,621,1386.66666666667,893.114629629384,605.125314853502,0.467228048106087,0.289202773087412,"D","sagrada","sagrada",1,5,2
"106","f",200,1427.66666666667,1626.66666666667,781.585600662232,532.740599986849,0.757864921577184,0.24154033125004,"D","sagrada","sagrada",1,7,2
"108","f",300,1727.66666666667,2026.66666666667,669.596159871419,552.729720147782,0.397017772894656,0.278099801319506,"D","sagrada","sagrada",1,9,2
"110","f",86.6666666666667,2141,2226.66666666667,844.977969536415,686.882491185115,0.252637773272659,0.217404262133116,"D","sagrada","sagrada",1,11,2
"112","f",400,2247.66666666667,2646.66666666667,923.146879999836,811.739519882202,0.576130774174458,0.277111556710555,"D","sagrada","sagrada",1,13,2
"114","f",933.333333333333,2681,3613.33333333333,885.085302926813,846.582261221749,1.00543372634756,0.321927091134181,"D","sagrada","sagrada",1,15,2
"116","f",280,3661,3940,1211.18651453654,503.854714160164,0.360180257599516,0.323219247719202,"D","sagrada","sagrada",1,17,2
"118","f",140,3967.66666666667,4106.66666666667,1321.7165708996,413.746714274089,0.33269769506405,0.245354226359935,"D","sagrada","sagrada",1,19,2
"120","f",1586.66666666667,4161,5746.66666666667,1409.91686748857,281.661027283228,0.543723232234604,0.245607513306401,"D","sagrada","sagrada",1,21,2
"122","f",93.3333333333333,5821,5913.33333333333,922.426971250347,290.387318202427,0.306799660579353,0.222784934016603,"D","sagrada","sagrada",1,23,2
"124","f",200,6234.33333333333,6433.33333333333,872.794880167643,254.33171971639,0.415871975672379,0.301720611236876,"D","sagrada","sagrada",1,25,2
"126","f",1826.66666666667,6441,8266.66666666667,877.11906566063,357.171214305571,0.657942130933107,0.252318375188265,"D","sagrada","sagrada",1,27,2
"128","f",633.333333333333,8414.33333333333,9046.66666666667,275.33547941509,307.425638058311,0.373517111577971,0.233496648005979,"D","sagrada","sagrada",1,29,2
"130","f",1253.33333333333,9054.33333333333,10306.6666666667,306.099422211343,368.403280562543,0.498828412051381,0.304869878124038,"D","sagrada","sagrada",1,31,2
"132","f",1546.66666666667,10334.3333333333,11880,370.099654362119,474.691399112858,0.496405686516919,0.243446932827097,"D","sagrada","sagrada",1,33,2
"134","f",646.666666666667,11934.3333333333,12580,692.10497338993,380.664927610417,0.67316534973435,0.295759097867426,"D","sagrada","sagrada",1,35,2
"136","f",533.333333333333,12614.3333333333,13146.6666666667,858.84911968708,356.998522758484,0.3747979151102,0.195999287837057,"D","sagrada","sagrada",1,37,2
"138","f",226.666666666667,13154.3333333333,13380,887.897223865285,329.635218003217,0.226670274922387,0.159068227815339,"D","sagrada","sagrada",1,39,2
"140","f",1626.66666666667,13441,15066.6666666667,1412.87689102673,258.747285061195,0.435420176741551,0.279119702780864,"D","sagrada","sagrada",1,41,2
"142","f",806.666666666667,15181,15986.6666666667,1331.2865846492,391.507899008507,0.329401318354073,0.211004817690576,"D","sagrada","sagrada",1,43,2
"144","f",200,16081,16280,1160.85247929891,462.307140858968,0.246836972592042,0.1678009218779,"D","sagrada","sagrada",1,45,2
"146","f",106.666666666667,16294.3333333333,16400,1142.73000001907,401.213587760925,0.179470188298062,0.175369202713349,"D","sagrada","sagrada",1,47,2
"148","f",306.666666666667,16594.3333333333,16900,830.098226298457,374.04719958098,0.364163500247554,0.187589729333843,"D","sagrada","sagrada",1,49,2
"150","f",1233.33333333333,16974.3333333333,18206.6666666667,875.024380513784,411.903039138382,0.447921318850465,0.265992083723883,"D","sagrada","sagrada",1,51,2
"152","f",400,18261,18660,348.380479939779,311.362110010783,0.340250747149111,0.266263572958445,"D","sagrada","sagrada",1,53,2
"154","f",306.666666666667,18674.3333333333,18980,271.203961579696,323.080003821331,0.256977958685021,0.214217866312623,"D","sagrada","sagrada",1,55,2
"156","f",186.666666666667,18994.3333333333,19180,296.441483633859,399.901820455279,0.333632073259562,0.17809286966742,"D","sagrada","sagrada",1,57,2
"158","f",146.666666666667,19234.3333333333,19380,763.234909057617,573.30081814646,0.280172607810342,0.282564500179835,"D","sagrada","sagrada",1,59,2
"160","f",600,19401,20000,891.441919941372,653.888759719001,0.369213400992886,0.25780166242016,"D","sagrada","sagrada",1,61,2
"162","f",466.666666666667,20014.3333333333,20480,942.997577008073,638.097017478943,0.346307929055154,0.242660256075456,"D","sagrada","sagrada",1,63,2
"164","f",586.666666666667,20514.3333333333,21100,885.927600080317,660.408647645604,0.471566668037463,0.302446156124979,"D","sagrada","sagrada",1,65,2
"166","f",280,21121,21400,918.094400087992,738.304200127011,0.286706751874714,0.227574432019594,"D","sagrada","sagrada",1,67,2
"168","f",186.666666666667,21454.3333333333,21640,911.939314297268,790.310250691005,0.282451232733163,0.16663104834827,"D","sagrada","sagrada",1,69,2
"170","f",426.666666666667,21661,22086.6666666667,876.822900295258,882.404634237289,0.56741961804989,0.202375653340763,"D","sagrada","sagrada",1,71,2
"172","f",486.666666666667,22114.3333333333,22600,920.25179171603,802.43289957961,0.447732282271225,0.275404342495513,"D","sagrada","sagrada",1,73,2
"174","f",80,22614.3333333333,22693.3333333333,914.076800187429,854.771398544312,0.226086759437537,0.24814764147526,"D","sagrada","sagrada",1,75,2
"176","f",160,22741,22900,928.736399988333,749.545426368713,0.0213959296447227,0.0836128631984658,"D","sagrada","sagrada",1,77,2
"178","f",1173.33333333333,22914.3333333333,24086.6666666667,936.651599956507,796.839156237515,0.591740033870583,0.30006047486826,"D","sagrada","sagrada",1,79,2
"180","f",180,24141,24320,836.478221469455,517.86319997134,0.266437612231353,0.227920527567333,"D","sagrada","sagrada",1,81,2
"182","f",413.333333333333,24454.3333333333,24866.6666666667,884.783225597874,378.855116136612,0.405283268953988,0.31150752691505,"D","sagrada","sagrada",1,83,2
"184","f",2166.66666666667,24881,27046.6666666667,853.371677668645,288.711299297626,0.42613332917424,0.239248919780166,"D","sagrada","sagrada",1,85,2
"186","f",120,27061,27180,847.190395355224,114.247802734375,0,0,"D","sagrada","sagrada",1,87,2
"188","f",120,27261,27380,857.602667702569,250.073700375027,0.258912927850157,0.293043344006298,"D","sagrada","sagrada",1,89,2
"190","f",600,27401,28000,872.766719881693,408.511799960666,0.339142135509209,0.220599841319025,"D","sagrada","sagrada",1,91,2
"192","f",293.333333333333,28014.3333333333,28306.6666666667,884.004872517152,490.891540765762,0.497009172882323,0.237976592231507,"D","sagrada","sagrada",1,93,2
"194","f",273.333333333333,28347.6666666667,28620,893.513209412738,599.947638677388,0.469958107694056,0.305233699080719,"D","sagrada","sagrada",1,95,2
"196","f",653.333333333333,28654.3333333333,29306.6666666667,946.546971414542,754.216071226159,0.48757074143985,0.231712144759666,"D","sagrada","sagrada",1,97,2
"198","f",533.333333333333,29321,29853.3333333333,982.96451998651,810.830519390106,0.39940048168697,0.250304427205582,"D","sagrada","sagrada",1,99,2
"199","f",460,1,460,963.895652167175,514.813382260231,0.883206413604187,0.292271277345765,"D","liceu","liceu",1,1,3
"201","f",553.333333333333,474.333333333333,1026.66666666667,895.351980393191,427.482672289193,0.458716012926454,0.251155465816634,"D","liceu","liceu",1,3,3
"203","f",340,1081,1420,1391.42437564625,362.679034513586,0.428340128041752,0.32553289238001,"D","liceu","liceu",1,5,3
"205","f",120,1441,1560,1324.89599609375,42.2442016601562,0,0,"D","liceu","liceu",1,7,3
"207","f",1706.66666666667,1581,3286.66666666667,902.92016259121,393.740450911224,0.689618007611605,0.285283042762266,"D","liceu","liceu",1,9,3
"209","f",2806.66666666667,3374.33333333333,6180,1351.32553064342,388.253663386981,0.684026936543978,0.293924476782311,"D","liceu","liceu",1,11,3
"211","f",106.666666666667,6214.33333333333,6320,1167.39419984817,629.667675495148,0.242589820858348,0.235980562883938,"D","liceu","liceu",1,13,3
"213","f",466.666666666667,6354.33333333333,6820,1376.43195364816,604.600508611543,0.646824432950539,0.310545348358212,"D","liceu","liceu",1,15,3
"215","f",553.333333333333,6834.33333333333,7386.66666666667,1290.46357727051,630.914595190301,0.451153127474908,0.251075075640939,"D","liceu","liceu",1,17,3
"217","f",186.666666666667,7434.33333333333,7620,1028.08525698526,652.399650028774,0.248079505720765,0.191432649438921,"D","liceu","liceu",1,19,3
"219","f",1826.66666666667,7654.33333333333,9480,872.088665662891,754.383370114069,0.591536164052108,0.268692321599027,"D","liceu","liceu",1,21,3
"221","f",406.666666666667,9614.33333333333,10020,449.91423034668,398.959258783059,0.503584661463042,0.204135630624272,"D","liceu","liceu",1,23,3
"223","f",453.333333333333,10054.3333333333,10506.6666666667,268.302495171042,402.563646821415,0.333442390044311,0.318285508632983,"D","liceu","liceu",1,25,3
"225","f",106.666666666667,10514.3333333333,10620,349.840795516968,415.302860975266,0.381616886139383,0.320502674507058,"D","liceu","liceu",1,27,3
"227","f",120,10641,10760,413.145584106446,255.765602111816,0,0,"D","liceu","liceu",1,29,3
"229","f",666.666666666667,10774.3333333333,11440,465.813791046143,473.42631606102,0.414851648461452,0.2476335366317,"D","liceu","liceu",1,31,3
"231","f",626.666666666667,11454.3333333333,12080,625.717786748359,496.121955409012,0.511563507911453,0.21869145131623,"D","liceu","liceu",1,33,3
"233","f",193.333333333333,12114.3333333333,12306.6666666667,785.759337589659,472.985441010574,0.334896342608886,0.327180681543837,"D","liceu","liceu",1,35,3
"235","f",353.333333333333,12314.3333333333,12666.6666666667,835.26683792978,547.717516940157,0.410185689173586,0.247855380935757,"D","liceu","liceu",1,37,3
"237","f",566.666666666667,12674.3333333333,13240,766.305543428309,534.304143477012,0.551009553373907,0.245226330314303,"D","liceu","liceu",1,39,3
"239","f",373.333333333333,13254.3333333333,13626.6666666667,900.49371438367,543.721371397376,0.374232483117713,0.250722673274578,"D","liceu","liceu",1,41,3
"241","f",1126.66666666667,13634.3333333333,14760,972.696937208698,543.995201062731,0.684337339760784,0.281442865431036,"D","liceu","liceu",1,43,3
"243","f",666.666666666667,14774.3333333333,15440,1129.67049591064,600.671051926017,0.573228646103935,0.298821815512234,"D","liceu","liceu",1,45,3
"245","f",1053.33333333333,15454.3333333333,16506.6666666667,1207.4063382692,646.940608881697,0.326827266391371,0.206380167834649,"D","liceu","liceu",1,47,3
"247","f",2126.66666666667,16534.3333333333,18660,1372.37134080845,690.263243953262,1.16353499548075,0.301842339340745,"D","liceu","liceu",1,49,3
"249","f",666.666666666667,18714.3333333333,19380,867.774336433411,781.441991424561,0.657389071729455,0.292554126039585,"D","liceu","liceu",1,51,3
"251","f",426.666666666667,19421,19846.6666666667,478.353598117828,582.540609490126,0.456886635514261,0.326822851824997,"D","liceu","liceu",1,53,3
